pair_id	region	ancestry	trait_a	trait_b	imputed_h4	confidence	prob_signal	base_from_pair	region_bonus	ancestry_factor
chr10_90750000_101250000__EUR__bmi_vs_asthma	10:90750000-101250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr7_12750000_23250000__EUR__bmi_vs_asthma	7:12750000-23250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr15_70750000_84250000__AFR__t2d_vs_asthma	15:70750000-84250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr9_116750000_121250000__AFR__t2d_vs_asthma	9:116750000-121250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr17_17750000_20250000__AFR__t2d_vs_asthma	17:17750000-20250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr2_119750000_122250000__AFR__t2d_vs_asthma	2:119750000-122250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr12_22750000_25250000__AFR__t2d_vs_asthma	12:22750000-25250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr15_65750000_70250000__AFR__t2d_vs_asthma	15:65750000-70250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr11_101750000_103250000__AFR__t2d_vs_asthma	11:101750000-103250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr5_175750000_177250000__AFR__t2d_vs_asthma	5:175750000-177250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr19_48750000_50250000__AFR__t2d_vs_asthma	19:48750000-50250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr10_61750000_67250000__AFR__t2d_vs_asthma	10:61750000-67250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr1_9750000_13250000__AFR__t2d_vs_asthma	1:9750000-13250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr4_110750000_114250000__AFR__t2d_vs_asthma	4:110750000-114250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr1_216750000_220250000__AFR__t2d_vs_asthma	1:216750000-220250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr13_113750000_116250000__AFR__t2d_vs_asthma	13:113750000-116250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr18_75750000_77250000__AFR__t2d_vs_asthma	18:75750000-77250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr19_2750000_15250000__AFR__t2d_vs_asthma	19:2750000-15250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr2_180750000_184250000__AFR__t2d_vs_asthma	2:180750000-184250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr7_38750000_40250000__AFR__t2d_vs_asthma	7:38750000-40250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr8_71750000_75250000__AFR__t2d_vs_asthma	8:71750000-75250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr2_23750000_30250000__AFR__t2d_vs_asthma	2:23750000-30250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr1_61750000_63250000__AFR__t2d_vs_asthma	1:61750000-63250000	AFR	t2d	asthma	0.0405	high	0.002	0.0189	0.0800	0.4091
chr7_12750000_23250000__EUR__hypertension_vs_asthma	7:12750000-23250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr12_119750000_125250000__EUR__hypertension_vs_asthma	12:119750000-125250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr1_226750000_231250000__EUR__hypertension_vs_asthma	1:226750000-231250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr7_67750000_81250000__EUR__hypertension_vs_asthma	7:67750000-81250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr11_129750000_135250000__EUR__hypertension_vs_asthma	11:129750000-135250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr2_70750000_74250000__EUR__hypertension_vs_asthma	2:70750000-74250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr14_61750000_64250000__EUR__hypertension_vs_asthma	14:61750000-64250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr13_29750000_34250000__EUR__hypertension_vs_asthma	13:29750000-34250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_192750000_198250000__EUR__hypertension_vs_asthma	3:192750000-198250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr9_12750000_17250000__EUR__hypertension_vs_asthma	9:12750000-17250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr10_5750000_7250000__EUR__hypertension_vs_asthma	10:5750000-7250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr9_7750000_12250000__EUR__hypertension_vs_asthma	9:7750000-12250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr7_154750000_158250000__EUR__hypertension_vs_asthma	7:154750000-158250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr19_15750000_20250000__EUR__hypertension_vs_asthma	19:15750000-20250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr16_22750000_25250000__EUR__hypertension_vs_asthma	16:22750000-25250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr10_29750000_35250000__EUR__hypertension_vs_asthma	10:29750000-35250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr9_3750000_7250000__EUR__hypertension_vs_asthma	9:3750000-7250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr6_103750000_105250000__EUR__hypertension_vs_asthma	6:103750000-105250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr6_159750000_165250000__EUR__hypertension_vs_asthma	6:159750000-165250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr16_0_1250000__EUR__hypertension_vs_asthma	16:0-1250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr10_11750000_14250000__EUR__hypertension_vs_asthma	10:11750000-14250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr8_3750000_5250000__EUR__hypertension_vs_asthma	8:3750000-5250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr1_178750000_181250000__EUR__hypertension_vs_asthma	1:178750000-181250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr8_88750000_91250000__EUR__hypertension_vs_asthma	8:88750000-91250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_155750000_159250000__EUR__hypertension_vs_asthma	3:155750000-159250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_178750000_190250000__EUR__hypertension_vs_asthma	3:178750000-190250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr18_71750000_74250000__EUR__hypertension_vs_asthma	18:71750000-74250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr10_132750000_135250000__EUR__hypertension_vs_asthma	10:132750000-135250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr7_43750000_47250000__EUR__hypertension_vs_asthma	7:43750000-47250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_175750000_178250000__EUR__hypertension_vs_asthma	3:175750000-178250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr13_49750000_52250000__EUR__hypertension_vs_asthma	13:49750000-52250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr8_13750000_16250000__EUR__hypertension_vs_asthma	8:13750000-16250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr11_53750000_59250000__EUR__hypertension_vs_asthma	11:53750000-59250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr5_58750000_65250000__EUR__hypertension_vs_asthma	5:58750000-65250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr10_90750000_101250000__EUR__hypertension_vs_asthma	10:90750000-101250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr2_39750000_49250000__EUR__hypertension_vs_asthma	2:39750000-49250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr17_37750000_50250000__EUR__hypertension_vs_asthma	17:37750000-50250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_31750000_34250000__EUR__hypertension_vs_asthma	3:31750000-34250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr2_34750000_38250000__EUR__hypertension_vs_asthma	2:34750000-38250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr22_27750000_33250000__EUR__hypertension_vs_asthma	22:27750000-33250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr11_110750000_123250000__EUR__hypertension_vs_asthma	11:110750000-123250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr13_24750000_29250000__EUR__hypertension_vs_asthma	13:24750000-29250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr8_750000_2250000__EUR__hypertension_vs_asthma	8:750000-2250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr1_188750000_192250000__EUR__hypertension_vs_asthma	1:188750000-192250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr9_32750000_38250000__EUR__hypertension_vs_asthma	9:32750000-38250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr9_0_3250000__EUR__hypertension_vs_asthma	9:0-3250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr16_26750000_32250000__EUR__hypertension_vs_asthma	16:26750000-32250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr18_5750000_8250000__EUR__hypertension_vs_asthma	18:5750000-8250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr8_104750000_107250000__EUR__hypertension_vs_asthma	8:104750000-107250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr5_104750000_109250000__EUR__hypertension_vs_asthma	5:104750000-109250000	EUR	hypertension	asthma	0.0369	high	0.007	0.0369	0.0000	1.0000
chr3_17750000_19250000__AFR__stroke_vs_asthma	3:17750000-19250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr21_38750000_47250000__AFR__stroke_vs_asthma	21:38750000-47250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr4_19750000_22250000__AFR__stroke_vs_asthma	4:19750000-22250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr15_65750000_70250000__AFR__stroke_vs_asthma	15:65750000-70250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr2_23750000_30250000__AFR__stroke_vs_asthma	2:23750000-30250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr8_7750000_12250000__AFR__stroke_vs_asthma	8:7750000-12250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr9_116750000_121250000__AFR__stroke_vs_asthma	9:116750000-121250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr19_48750000_50250000__AFR__stroke_vs_asthma	19:48750000-50250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr5_175750000_177250000__AFR__stroke_vs_asthma	5:175750000-177250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr11_75750000_79250000__AFR__stroke_vs_asthma	11:75750000-79250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr15_70750000_84250000__AFR__stroke_vs_asthma	15:70750000-84250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr10_61750000_67250000__AFR__stroke_vs_asthma	10:61750000-67250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr12_46750000_59250000__AFR__stroke_vs_asthma	12:46750000-59250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr19_2750000_15250000__AFR__stroke_vs_asthma	19:2750000-15250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr2_180750000_184250000__AFR__stroke_vs_asthma	2:180750000-184250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr4_93750000_97250000__AFR__stroke_vs_asthma	4:93750000-97250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr18_75750000_77250000__AFR__stroke_vs_asthma	18:75750000-77250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr2_119750000_122250000__AFR__stroke_vs_asthma	2:119750000-122250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr7_38750000_40250000__AFR__stroke_vs_asthma	7:38750000-40250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr6_48750000_54250000__AFR__stroke_vs_asthma	6:48750000-54250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr3_7750000_17250000__AFR__stroke_vs_asthma	3:7750000-17250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr4_110750000_114250000__AFR__stroke_vs_asthma	4:110750000-114250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr1_9750000_13250000__AFR__stroke_vs_asthma	1:9750000-13250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr12_22750000_25250000__AFR__stroke_vs_asthma	12:22750000-25250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr14_76750000_78250000__AFR__stroke_vs_asthma	14:76750000-78250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr17_17750000_20250000__AFR__stroke_vs_asthma	17:17750000-20250000	AFR	stroke	asthma	0.0361	high	0.000	0.0082	0.0800	0.4091
chr4_118750000_121250000__EUR__t2d_vs_asthma	4:118750000-121250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_37750000_45250000__EUR__t2d_vs_asthma	6:37750000-45250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr16_0_1250000__EUR__t2d_vs_asthma	16:0-1250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_168750000_170250000__EUR__t2d_vs_asthma	6:168750000-170250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr21_29750000_31250000__EUR__t2d_vs_asthma	21:29750000-31250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_149750000_158250000__EUR__t2d_vs_asthma	6:149750000-158250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_32750000_38250000__EUR__t2d_vs_asthma	9:32750000-38250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_111750000_115250000__EUR__t2d_vs_asthma	7:111750000-115250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_175750000_178250000__EUR__t2d_vs_asthma	3:175750000-178250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_103750000_105250000__EUR__t2d_vs_asthma	6:103750000-105250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_160750000_162250000__EUR__t2d_vs_asthma	1:160750000-162250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_81750000_83250000__EUR__t2d_vs_asthma	12:81750000-83250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_100750000_105250000__EUR__t2d_vs_asthma	9:100750000-105250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_129750000_135250000__EUR__t2d_vs_asthma	11:129750000-135250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_136750000_138250000__EUR__t2d_vs_asthma	6:136750000-138250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_195750000_197250000__EUR__t2d_vs_asthma	2:195750000-197250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_123750000_127250000__EUR__t2d_vs_asthma	10:123750000-127250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_109750000_116250000__EUR__t2d_vs_asthma	5:109750000-116250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_66750000_69250000__EUR__t2d_vs_asthma	4:66750000-69250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_26750000_28250000__EUR__t2d_vs_asthma	5:26750000-28250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_11750000_13250000__EUR__t2d_vs_asthma	17:11750000-13250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_226750000_231250000__EUR__t2d_vs_asthma	1:226750000-231250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_143750000_145250000__EUR__t2d_vs_asthma	5:143750000-145250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_11750000_14250000__EUR__t2d_vs_asthma	10:11750000-14250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_44750000_52250000__EUR__t2d_vs_asthma	11:44750000-52250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_38750000_43250000__EUR__t2d_vs_asthma	18:38750000-43250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_0_2250000__EUR__t2d_vs_asthma	5:0-2250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr19_750000_2250000__EUR__t2d_vs_asthma	19:750000-2250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_84750000_87250000__EUR__t2d_vs_asthma	2:84750000-87250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_71750000_74250000__EUR__t2d_vs_asthma	18:71750000-74250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_12750000_17250000__EUR__t2d_vs_asthma	9:12750000-17250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_13750000_16250000__EUR__t2d_vs_asthma	8:13750000-16250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_5750000_7250000__EUR__t2d_vs_asthma	10:5750000-7250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_20750000_24250000__EUR__t2d_vs_asthma	10:20750000-24250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr13_57750000_61250000__EUR__t2d_vs_asthma	13:57750000-61250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_146750000_148250000__EUR__t2d_vs_asthma	6:146750000-148250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_3750000_6250000__EUR__t2d_vs_asthma	12:3750000-6250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr14_52750000_54250000__EUR__t2d_vs_asthma	14:52750000-54250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_31750000_34250000__EUR__t2d_vs_asthma	3:31750000-34250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_106750000_108250000__EUR__t2d_vs_asthma	11:106750000-108250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_40750000_54250000__EUR__t2d_vs_asthma	3:40750000-54250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_12750000_14250000__EUR__t2d_vs_asthma	18:12750000-14250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_26750000_33250000__EUR__t2d_vs_asthma	17:26750000-33250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_20750000_24250000__EUR__t2d_vs_asthma	9:20750000-24250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_110750000_115250000__EUR__t2d_vs_asthma	9:110750000-115250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_155750000_159250000__EUR__t2d_vs_asthma	3:155750000-159250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_146750000_149250000__EUR__t2d_vs_asthma	5:146750000-149250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_54750000_66250000__EUR__t2d_vs_asthma	2:54750000-66250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_0_3250000__EUR__t2d_vs_asthma	9:0-3250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_14750000_17250000__EUR__t2d_vs_asthma	17:14750000-17250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_62750000_75250000__EUR__t2d_vs_asthma	11:62750000-75250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_178750000_190250000__EUR__t2d_vs_asthma	3:178750000-190250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_34750000_38250000__EUR__t2d_vs_asthma	2:34750000-38250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_12750000_23250000__EUR__t2d_vs_asthma	7:12750000-23250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_163750000_166250000__EUR__t2d_vs_asthma	5:163750000-166250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_7750000_12250000__EUR__t2d_vs_asthma	9:7750000-12250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_59750000_62250000__EUR__t2d_vs_asthma	11:59750000-62250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr13_24750000_29250000__EUR__t2d_vs_asthma	13:24750000-29250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_92750000_94250000__EUR__t2d_vs_asthma	6:92750000-94250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_74750000_82250000__EUR__t2d_vs_asthma	17:74750000-82250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr20_28750000_36250000__EUR__t2d_vs_asthma	20:28750000-36250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr20_23750000_26250000__EUR__t2d_vs_asthma	20:23750000-26250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_159750000_165250000__EUR__t2d_vs_asthma	6:159750000-165250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr14_61750000_64250000__EUR__t2d_vs_asthma	14:61750000-64250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr20_750000_5250000__EUR__t2d_vs_asthma	20:750000-5250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_238750000_240250000__EUR__t2d_vs_asthma	2:238750000-240250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_78750000_80250000__EUR__t2d_vs_asthma	12:78750000-80250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_3750000_5250000__EUR__t2d_vs_asthma	8:3750000-5250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr16_26750000_32250000__EUR__t2d_vs_asthma	16:26750000-32250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_160750000_164250000__EUR__t2d_vs_asthma	4:160750000-164250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_47750000_49250000__EUR__t2d_vs_asthma	18:47750000-49250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_107750000_110250000__EUR__t2d_vs_asthma	4:107750000-110250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_213750000_215250000__EUR__t2d_vs_asthma	1:213750000-215250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr19_43750000_48250000__EUR__t2d_vs_asthma	19:43750000-48250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_192750000_198250000__EUR__t2d_vs_asthma	3:192750000-198250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr16_22750000_25250000__EUR__t2d_vs_asthma	16:22750000-25250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_178750000_181250000__EUR__t2d_vs_asthma	1:178750000-181250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_104750000_109250000__EUR__t2d_vs_asthma	5:104750000-109250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_132750000_139250000__EUR__t2d_vs_asthma	3:132750000-139250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_15750000_20250000__EUR__t2d_vs_asthma	10:15750000-20250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_79750000_91250000__EUR__t2d_vs_asthma	3:79750000-91250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr13_84750000_87250000__EUR__t2d_vs_asthma	13:84750000-87250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_126750000_129250000__EUR__t2d_vs_asthma	5:126750000-129250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_36750000_53250000__EUR__t2d_vs_asthma	1:36750000-53250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_37750000_41250000__EUR__t2d_vs_asthma	4:37750000-41250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
