region_id	chr	start_grch37	end_grch37	start_grch38	end_grch38	span_bp_grch38	span_mb_grch38	region_class	radius_bp	path_a_class	est_cluster_hours_per_ancestry	split_status	n_subregions	liftover_status
m2_region_00145__sub11	6	68911970	171590475	116915232	131798246	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub12	6	68911970	171590475	121798246	136681260	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub13	6	68911970	171590475	126681260	141564274	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub14	6	68911970	171590475	131564274	146447288	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub15	6	68911970	171590475	136447288	151330302	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub16	6	68911970	171590475	141330302	156213316	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub17	6	68911970	171590475	146213316	161096330	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub18	6	68911970	171590475	151096330	165979344	14883014	14.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub19	6	68911970	171590475	155979344	170745387	14766043	14.766	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00145__sub20	6	68911970	171590475	160862358	170745387	9883029	9.883	medium	5000000	A.2	1.5	subregion	21	multi-segment
m2_region_00146	7	0	58882950	10000	57994244	57984244	57.984	xlarge	50000000	A.3	24.0	parent	12	multi-segment
m2_region_00146__sub00	7	0	58882950	10000	9842020	9832020	9.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub01	7	0	58882950	10000	14674040	14664040	14.664	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub02	7	0	58882950	4674040	19506060	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub03	7	0	58882950	9506060	24338080	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub04	7	0	58882950	14338080	29170100	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub05	7	0	58882950	19170100	34002120	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub06	7	0	58882950	24002120	38834140	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub07	7	0	58882950	28834140	43666160	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub08	7	0	58882950	33666160	48498180	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub09	7	0	58882950	38498180	53330200	14832020	14.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub10	7	0	58882950	43330200	57994244	14664044	14.664	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00146__sub11	7	0	58882950	48162220	57994244	9832024	9.832	medium	5000000	A.2	1.5	subregion	12	multi-segment
m2_region_00147	7	61535226	68058023	62151190	68593036	6441846	6.442	medium	6941846	A.2	1.5	whole	1	primary
m2_region_00148	7	68270649	83960004	68805662	84330688	15525026	15.525	medium	16025026	A.2	1.5	whole	1	primary
m2_region_00149	7	84091003	132619847	84461687	132935087	48473400	48.473	large	48973400	A.3	8.0	whole	1	primary
m2_region_00150	7	132979795	144092269	133295041	144395176	11100135	11.1	medium	11600135	A.2	1.5	whole	1	primary
m2_region_00151	7	144395771	152415536	144698678	152718451	8019773	8.02	medium	8519773	A.2	1.5	whole	1	primary
m2_region_00152	7	153201853	159595849	153504768	159335159	5830391	5.83	medium	6330391	A.2	1.5	whole	1	multi-segment
m2_region_00153	8	365488	35519519	415488	35662001	35246513	35.247	large	35746513	A.3	8.0	whole	1	primary
m2_region_00154	8	35708190	43599489	35850672	43744346	7893674	7.894	medium	8393674	A.2	1.5	whole	1	primary
m2_region_00155	8	45924211	63494888	45927589	62582329	16654740	16.655	medium	17154740	A.2	1.5	whole	1	multi-segment
m2_region_00156	8	63508954	78529466	62596395	77617230	15020835	15.021	medium	15520835	A.2	1.5	whole	1	primary
m2_region_00157	8	79107372	109461828	78195137	108449599	30254462	30.254	large	30754462	A.3	8.0	whole	1	primary
m2_region_00158	8	110140527	147198217	109128298	145077831	35949533	35.95	large	36449533	A.3	8.0	whole	1	multi-segment
m2_region_00159	9	0	26281227	10000	26281229	26271229	26.271	large	26771229	A.3	8.0	whole	1	multi-segment
m2_region_00160	9	26612918	39396002	26612920	39396005	12783085	12.783	medium	13283085	A.2	1.5	whole	1	primary
m2_region_00161	9	70049116	141646121	65167510	138262671	73095161	73.095	xlarge	50000000	A.3	24.0	parent	15	multi-segment
m2_region_00161__sub00	9	70049116	141646121	65167510	75040520	9873010	9.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub01	9	70049116	141646121	65167510	79913530	14746020	14.746	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub02	9	70049116	141646121	69913530	84786540	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub03	9	70049116	141646121	74786540	89659550	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub04	9	70049116	141646121	79659550	94532560	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub05	9	70049116	141646121	84532560	99405570	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub06	9	70049116	141646121	89405570	104278580	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub07	9	70049116	141646121	94278580	109151590	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub08	9	70049116	141646121	99151590	114024600	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub09	9	70049116	141646121	104024600	118897610	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub10	9	70049116	141646121	108897610	123770620	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub11	9	70049116	141646121	113770620	128643630	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub12	9	70049116	141646121	118643630	133516640	14873010	14.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub13	9	70049116	141646121	123516640	138262671	14746031	14.746	medium	5000000	A.2	1.5	subregion	15	multi-segment
m2_region_00161__sub14	9	70049116	141646121	128389650	138262671	9873021	9.873	medium	5000000	A.2	1.5	subregion	15	multi-segment
